id	repo_path	remote	branch	baseline_head	baseline_date	has_dossier	watch_globs	triggers
ManuPoke.kuru-fresh.Kuru-contracts-flow-public	ManuPoke/kuru-fresh/Kuru-contracts-flow-public	Kuru-Labs/Kuru-contracts-flow-public	main	70bc0c9	2026-04-15	no	contracts/,src/	
ManuPoke.lending-v2	ManuPoke/lending-v2	arcadia-finance/lending-v2	main	c261329	2026-06-12	no	contracts/,src/	
ManuPoke.lifi-fresh.repo	ManuPoke/lifi-fresh/repo	lifinance/contracts	main	07d9674	2026-07-24	no	contracts/,src/	
ManuPoke.morpho-midnight.bundles	ManuPoke/morpho-midnight/bundles	morpho-org/bundles	main	d5dc4c6	2026-07-24	no	contracts/,src/	
ManuPoke.morpho-midnight.midnight	ManuPoke/morpho-midnight/midnight	morpho-org/midnight	main	b864533	2026-07-24	no	contracts/,src/	
methodology-backup	methodology-backup	SatisLoeb/bug-bounty-methodology	master	5e8d1ca	2026-09-04	no	contracts/,src/	
M.zest-protocol-v2.repo	M/zest-protocol-v2/repo	Zest-Protocol/zest-v2-contracts	main	f2fce52	2026-09-02	no	contracts/,src/	
NEXUS	NEXUS	SatisLoeb/NEXUS	feat/fcmp-full-pipeline	57e1443	2026-09-04	no	contracts/,src/	
nexus-atomic-research.repos.farcaster-node	nexus-atomic-research/repos/farcaster-node	farcaster-project/farcaster-node	main	48dad68f	2024-08-12	no	contracts/,src/	
nexus-atomic-research.repos.xmr-btc-swap	nexus-atomic-research/repos/xmr-btc-swap	comit-network/xmr-btc-swap	master	dc6ba84b	2025-07-22	no	contracts/,src/	
web.source.ens-app-v3	web/source/ens-app-v3	ensdomains/ens-app-v3	main	eec575e	2026-08-27	no	contracts/,src/	
web.source.ensdomains-landing	web/source/ensdomains-landing	ensdomains/ens.domains	master	037cfca	2020-07-14	no	contracts/,src/	
web.source.ens-metadata-service	web/source/ens-metadata-service	ensdomains/ens-metadata-service	master	83b3bf6	2026-06-26	no	contracts/,src/	
